crop,season,year_range,production
Safflower,Summer,2022-2023,0
Safflower,Summer,2023-2024,0
Sugarcane,Kharif,2013-2014,3521.42
Sugarcane,Kharif,2014-2015,3623.33
Sugarcane,Kharif,2015-2016,3484.48
Sugarcane,Kharif,2016-2017,3060.69
Sugarcane,Kharif,2017-2018,3799.05
Sugarcane,Kharif,2018-2019,4054.16
Sugarcane,Kharif,2019-2020,3705
Sugarcane,Kharif,2020-2021,4053.99
Sugarcane,Kharif,2021-2022,4394.25
Sugarcane,Kharif,2022-2023,4905.33
Sugarcane,Kharif,2023-2024,4531.58
Sugarcane,Rabi,2013-2014,0
Sugarcane,Rabi,2014-2015,0
Sugarcane,Rabi,2015-2016,0
Sugarcane,Rabi,2016-2017,0
Sugarcane,Rabi,2017-2018,0
Sugarcane,Rabi,2018-2019,0
Sugarcane,Rabi,2019-2020,0
Sugarcane,Rabi,2020-2021,0
Sugarcane,Rabi,2021-2022,0
Sugarcane,Rabi,2022-2023,0
Sugarcane,Rabi,2023-2024,0
Sugarcane,Summer,2013-2014,0
Sugarcane,Summer,2014-2015,0
Sugarcane,Summer,2015-2016,0
Sugarcane,Summer,2016-2017,0
Sugarcane,Summer,2017-2018,0
Sugarcane,Summer,2018-2019,0
Sugarcane,Summer,2019-2020,0
Sugarcane,Summer,2020-2021,0
Sugarcane,Summer,2021-2022,0
Sugarcane,Summer,2022-2023,0
Sugarcane,Summer,2023-2024,0
Cotton,Kharif,2013-2014,61.03
Cotton,Kharif,2014-2015,59.17
Cotton,Kharif,2015-2016,51.01
Cotton,Kharif,2016-2017,55.38
Cotton,Kharif,2017-2018,55.77
Cotton,Kharif,2018-2019,47.67
Cotton,Kharif,2019-2020,61.31
Cotton,Kharif,2020-2021,59.92
Cotton,Kharif,2021-2022,52.9
Cotton,Kharif,2022-2023,57.22
Cotton,Kharif,2023-2024,55.29
Cotton,Rabi,2013-2014,0
Cotton,Rabi,2014-2015,0
Cotton,Rabi,2015-2016,0
Cotton,Rabi,2016-2017,0
Cotton,Rabi,2017-2018,0
Cotton,Rabi,2018-2019,0
Cotton,Rabi,2019-2020,0
Cotton,Rabi,2020-2021,0
Cotton,Rabi,2021-2022,0
Cotton,Rabi,2022-2023,0
Cotton,Rabi,2023-2024,0
Cotton,Summer,2013-2014,0
Cotton,Summer,2014-2015,0
Cotton,Summer,2015-2016,0
Cotton,Summer,2016-2017,0
Cotton,Summer,2017-2018,0
Cotton,Summer,2018-2019,0
Cotton,Summer,2019-2020,0
Cotton,Summer,2020-2021,0
Cotton,Summer,2021-2022,0
Cotton,Summer,2022-2023,0
Cotton,Summer,2023-2024,0
Jute and Mesta,Kharif,2013-2014,21.04
Jute and Mesta,Kharif,2014-2015,20.03
Jute and Mesta,Kharif,2015-2016,18.94
Jute and Mesta,Kharif,2016-2017,19.73
Jute and Mesta,Kharif,2017-2018,18.06
Jute and Mesta,Kharif,2018-2019,17.68
Jute and Mesta,Kharif,2019-2020,17.78
Jute and Mesta,Kharif,2020-2021,16.84
Jute and Mesta,Kharif,2021-2022,18.27
Jute and Mesta,Kharif,2022-2023,16.91
Jute and Mesta,Kharif,2023-2024,17.45
Jute and Mesta,Rabi,2013-2014,0
Jute and Mesta,Rabi,2014-2015,0
Jute and Mesta,Rabi,2015-2016,0
Jute and Mesta,Rabi,2016-2017,0
Jute and Mesta,Rabi,2017-2018,0
Jute and Mesta,Rabi,2018-2019,0
Jute and Mesta,Rabi,2019-2020,0
Jute and Mesta,Rabi,2020-2021,0
Jute and Mesta,Rabi,2021-2022,0
Jute and Mesta,Rabi,2022-2023,0
Jute and Mesta,Rabi,2023-2024,0
Jute and Mesta,Summer,2013-2014,0
Jute and Mesta,Summer,2014-2015,0
Jute and Mesta,Summer,2015-2016,0
Jute and Mesta,Summer,2016-2017,0
Jute and Mesta,Summer,2017-2018,0
Jute and Mesta,Summer,2018-2019,0
Jute and Mesta,Summer,2019-2020,0
Jute and Mesta,Summer,2020-2021,0
Jute and Mesta,Summer,2021-2022,0
Jute and Mesta,Summer,2022-2023,0
Jute and Mesta,Summer,2023-2024,0
